feature,coef,abs_coef
avg_balance,0.05091407311434073,0.05091407311434073
inflow_txn_cnt,0.42358716155913306,0.42358716155913306
outflow_txn_cnt,-0.17678927252853563,0.17678927252853563
inflow_amount,-0.004024774792444504,0.004024774792444504
outflow_amount,-0.08701097834559353,0.08701097834559353
digital_logins_cnt,0.041224439967936635,0.041224439967936635
days_active,-0.2708972834904119,0.2708972834904119
avg_ticket_size,0.10070737930713063,0.10070737930713063
email_open_rate,0.10613095920752315,0.10613095920752315
email_ctr,0.06151452394757718,0.06151452394757718
years_in_business,-0.094738065443346,0.094738065443346
industry_name_Agriculture,0.4996259899869726,0.4996259899869726
industry_name_Construction,0.1349610756594329,0.1349610756594329
industry_name_Education,-0.24753219850744118,0.24753219850744118
industry_name_Financial Services,0.1301419667638177,0.1301419667638177
industry_name_Healthcare,0.16814212955101857,0.16814212955101857
industry_name_Hospitality & Tourism,0.45754960976270004,0.45754960976270004
industry_name_Information Technology,-0.38758161720903683,0.38758161720903683
industry_name_Manufacturing,0.13723244304672044,0.13723244304672044
industry_name_Retail & Wholesale,-0.6954395810469749,0.6954395810469749
industry_name_Transport & Logistics,-0.19354199378164932,0.19354199378164932
segment_Corporate,-0.2866901246745974,0.2866901246745974
segment_Medium,0.38863410548111255,0.38863410548111255
segment_Micro,0.08741232973992082,0.08741232973992082
segment_Small,-0.18579848632087384,0.18579848632087384
turnover_band_< R5m,0.0035578242255600986,0.0035578242255600986
employees_band_1-5,-0.29445324042404625,0.29445324042404625
employees_band_101-250,-0.07873565260732701,0.07873565260732701
employees_band_21-50,-0.036253752914384194,0.036253752914384194
employees_band_250+,0.7201873437825723,0.7201873437825723
employees_band_51-100,-0.09193272068180731,0.09193272068180731
employees_band_6-20,-0.21525415292944688,0.21525415292944688
